"Freq [GHz]","dB(S(Port,Port)) []"
1.75,-0.0610346694521919
1.75125,-0.0616631913319892
1.7525,-0.0623028336509053
1.75375,-0.0629538049459165
1.755,-0.0636163194007876
1.75625,-0.0642905970202405
1.7575,-0.0649768638103331
1.75875,-0.0656753519654469
1.76,-0.0663863000620679
1.76125,-0.0671099532597229
1.7625,-0.067846563509306
1.76375,-0.0685963897691283
1.765,-0.0693596982290444
1.76625,-0.0701367625429517
1.7675,-0.0709278640700529
1.76875,-0.0717332921252876
1.77,-0.0725533442392317
1.77125,-0.0733883264280141
1.7725,-0.0742385534735317
1.77375,-0.0751043492145989
1.775,-0.0759860468493051
1.77625,-0.0768839892492949
1.7775,-0.077798529286308
1.77875,-0.0787300301716826
1.78,-0.079678865809297
1.78125,-0.0806454211626659
1.7825,-0.0816300926366788
1.78375,-0.0826332884748918
1.785,-0.0836554291727957
1.78625,-0.0846969479081014
1.7875,-0.0857582909885795
1.78875,-0.0868399183184803
1.79,-0.0879423038842387
1.79125,-0.0890659362605371
1.7925,-0.0902113191376116
1.79375,-0.0913789718707603
1.795,-0.0925694300533058
1.79625,-0.0937832461139863
1.7975,-0.0950209899400595
1.79875,-0.0962832495272771
1.8,-0.0975706316582427
1.80125,-0.0988837626103912
1.8025,-0.100223288895124
1.80375,-0.101589878029724
1.805,-0.102984219343626
1.80625,-0.104407024820838
1.8075,-0.105859029980395
1.80875,-0.107340994796701
1.81,-0.108853704661995
1.81125,-0.110397971392918
1.8125,-0.111974634283732
1.81375,-0.113584561208495
1.815,-0.115228649774824
1.81625,-0.1169078285321
1.8175,-0.118623058236897
1.81875,-0.120375333178858
1.82,-0.122165682570291
1.82125,-0.123995172002891
1.8225,-0.125864904975467
1.82375,-0.127776024496461
1.825,-0.12972971476553
1.82625,-0.131727202938646
1.8275,-0.133769760981432
1.82875,-0.135858707615782
1.83,-0.13799541036509
1.83125,-0.140181287703907
1.8325,-0.14241781131799
1.83375,-0.144706508481262
1.835,-0.147048964556649
1.83625,-0.149446825628096
1.8375,-0.151901801271625
1.83875,-0.154415667473885
1.84,-0.156990269707084
1.84125,-0.159627526169971
1.8425,-0.162329431204959
1.84375,-0.165098058902473
1.845,-0.167935566904149
1.84625,-0.170844200417447
1.8475,-0.173826296455062
1.84875,-0.176884288313527
1.85,-0.180020710306421
1.85125,-0.183238202768677
1.8525,-0.186539517349758
1.85375,-0.189927522614667
1.855,-0.193405209973252
1.85625,-0.196975699959856
1.8575,-0.200642248886696
1.85875,-0.204408255896656
1.86,-0.208277270442575
1.86125,-0.212253000222607
1.8625,-0.216339319603374
1.86375,-0.220540278564975
1.865,-0.22486011220488
1.86625,-0.229303250840463
1.8675,-0.233874330753096
1.86875,-0.238578205620394
1.87,-0.243419958686716
1.87125,-0.248404915726291
1.8725,-0.253538658857887
1.87375,-0.258827041274567
1.875,-0.264276202957828
1.87625,-0.269892587450788
1.8775,-0.275682959771919
1.87875,-0.281654425557558
1.88,-0.287814451529137
1.88125,-0.294170887389442
1.8825,-0.300731989261639
1.88375,-0.307506444794493
1.885,-0.314503400068684
1.88625,-0.321732488451223
1.8875,-0.329203861558179
1.88875,-0.336928222501072
1.89,-0.344916861608151
1.89125,-0.353181694830165
1.8925,-0.36173530505957
1.89375,-0.3705909866144
1.895,-0.37976279316183
1.89625,-0.389265589383559
1.8975,-0.399115106714359
1.89875,-0.409328003518256
1.9,-0.419921930102903
1.90125,-0.430915599013292
1.9025,-0.442328861090527
1.90375,-0.454182787831486
1.905,-0.466499760640466
1.90625,-0.479303567625735
1.9075,-0.492619508662874
1.90875,-0.50647450952339
1.91,-0.520897245953268
1.91125,-0.53591827868172
1.9125,-0.551570200447974
1.91375,-0.567887796254085
1.915,-0.584908218186652
1.91625,-0.60267117630151
1.9175,-0.621219147235591
1.91875,-0.640597602401064
1.92,-0.660855257832214
1.92125,-0.682044347997791
1.9225,-0.704220926165139
1.92375,-0.727445194211104
1.925,-0.751781865123987
1.92625,-0.777300561835652
1.9275,-0.80407625647099
1.92875,-0.832189754609307
1.93,-0.86172822972949
1.93125,-0.892785813666657
1.9325,-0.925464249655037
1.93375,-0.959873615384086
1.935,-0.996133124467805
1.93625,-1.03437201584036
1.9375,-1.07473054186679
1.93875,-1.11736106742165
1.94,-1.16242929387302
1.94125,-1.21011562385038
1.9425,-1.26061668491869
1.94375,-1.31414703288022
1.945,-1.37094105844625
1.94625,-1.43125512454241
1.9475,-1.49536996563345
1.94875,-1.56359338529714
1.95,-1.63626329399782
1.95125,-1.71375113580236
1.9525,-1.79646576089462
1.95375,-1.88485781050119
1.955,-1.97942469266461
1.95625,-2.08071624174506
1.9575,-2.18934117234125
1.95875,-2.30597446049682
1.96,-2.43136581296062
1.96125,-2.56634942076876
1.9625,-2.71185523910746
1.96375,-2.86892209493274
1.965,-3.03871300229923
1.96625,-3.22253317011959
1.9675,-3.42185132870104
1.96875,-3.63832519529425
1.97,-3.87383216774451
1.97125,-4.13050671307223
1.9725,-4.41078645580694
1.97375,-4.7174697482529
1.975,-5.05378864560167
1.97625,-5.42350291141738
1.9775,-5.83102326870232
1.97875,-6.28157613547166
1.98,-6.78142848928269
1.98125,-7.33820199076512
1.9825,-7.96132322311576
1.98375,-8.66268801828273
1.985,-9.45767490108767
1.98625,-10.3667529023223
1.9875,-11.4181555582522
1.98875,-12.65259538127
1.99,-14.1322185743881
1.99125,-15.9593807338654
1.9925,-18.3218589105365
1.99375,-21.6272724034275
1.995,-27.0852997461924
1.99625,-44.2464336567559
1.9975,-29.4268436477608
1.99875,-22.8110078998481
2,-19.1244419456122
2.00125,-16.5750983335927
2.0025,-14.6386229813633
2.00375,-13.088278282044
2.005,-11.804986509633
2.00625,-10.7182263805981
2.0075,-9.78262573584028
2.00875,-8.9671536501085
2.01,-8.24956309946664
2.01125,-7.61329499249884
2.0125,-7.0456426055389
2.01375,-6.53660749230909
2.015,-6.07815632648567
2.01625,-5.6637210205281
2.0175,-5.28785218331344
2.01875,-4.94597241605522
2.02,-4.63419646986189
2.02125,-4.34919730904088
2.0225,-4.0881044050889
2.02375,-3.84842512639113
2.025,-3.62798299247181
2.02625,-3.42486846087601
2.0275,-3.23739918189233
2.02875,-3.06408751696824
2.03,-2.90361371085384
2.03125,-2.75480352397253
2.0325,-2.61660942760962
2.03375,-2.4880946778863
2.035,-2.36841974029181
2.03625,-2.25683065176414
2.0375,-2.15264899357883
2.03875,-2.05526321369388
2.04,-1.96412108734269
2.04125,-1.87872314357254
2.0425,-1.79861691593937
2.04375,-1.72339189976181
2.045,-1.65267511770379
2.04625,-1.58612721110816
2.0475,-1.52343898726415
2.04875,-1.46432836327536
2.05,-1.4085376558763
2.05125,-1.35583117377562
2.0525,-1.30599307516871
2.05375,-1.25882545817103
2.055,-1.21414665625156
2.05625,-1.17178971442744
2.0575,-1.13160102512465
2.05875,-1.09343910530406
2.06,-1.05717349876871
2.06125,-1.02268378956647
2.0625,-0.989858714128178
2.06375,-0.958595361279153
2.065,-0.928798450561319
2.06625,-0.900379680434845
2.0675,-0.873257138915024
2.06875,-0.847354770061538
2.07,-0.822601890492061
2.07125,-0.798932750752643
2.0725,-0.776286136957787
2.07375,-0.754605008623045
2.075,-0.733836169061844
2.07625,-0.713929965114031
2.0775,-0.694840013322646
2.07875,-0.67652294998432
2.08,-0.658938202771276
2.08125,-0.642047781865098
2.0825,-0.625816088756651
2.08375,-0.610209741056996
2.085,-0.59519741183334
2.08625,-0.580749682134503
2.0875,-0.566838905504684
2.08875,-0.553439083403611
2.09,-0.540525750558113
2.09125,-0.528075869365244
2.0925,-0.516067732552537
2.09375,-0.504480873377304
2.095,-0.493295982715086
2.09625,-0.482494832448996
2.0975,-0.472060204626514
2.09875,-0.461975825900067
2.1,-0.45222630681187
2.10125,-0.442797085524141
2.1025,-0.433674375631168
2.10375,-0.424845117723157
2.105,-0.416296934400361
2.10625,-0.40801808846322
2.1075,-0.399997444027762
2.10875,-0.392224430337611
2.11,-0.38468900806347
2.11125,-0.377381637898746
2.1125,-0.370293251276391
2.11375,-0.363415223046428
2.115,-0.356739345967302
2.11625,-0.350257806876103
2.1175,-0.343963164413895
2.11875,-0.337848328192455
2.12,-0.331906539297723
2.12125,-0.326131352033944
2.1225,-0.320516616819857
2.12375,-0.315056464155339
2.125,-0.309745289583407
2.12625,-0.304577739578108
2.1275,-0.299548698294329
2.12875,-0.294653275120412
2.13,-0.289886792978958
2.13125,-0.285244777325159
2.1325,-0.280722945796085
2.13375,-0.276317198467453
2.135,-0.272023608677982
2.13625,-0.267838414383926
2.1375,-0.263758010009535
2.13875,-0.259778938761224
2.14,-0.255897885376004
2.14125,-0.252111669276261
2.1425,-0.248417238105548
2.14375,-0.244811661621267
2.145,-0.241292125922183
2.14625,-0.23785592799003
2.1475,-0.234500470526044
2.14875,-0.231223257064294
2.15,-0.228021887345267
2.15125,-0.224894052933982
2.1525,-0.221837533068104
2.15375,-0.218850190722373
2.155,-0.215929968876757
2.15625,-0.213074886976327
2.1575,-0.210283037571789
2.15875,-0.207552583130265
2.16,-0.2048817530066
2.16125,-0.202268840566033
2.1625,-0.199712200449743
2.16375,-0.197210245975238
2.165,-0.194761446664076
2.16625,-0.192364325889851
2.1675,-0.190017458639935
2.16875,-0.187719469384626
2.17,-0.185469030047966
2.17125,-0.183264858074741
2.1725,-0.18110571458847
2.17375,-0.178990402635608
2.175,-0.176917765511329
2.17625,-0.174886685162681
2.1775,-0.172896080664979
2.17875,-0.170944906767738
2.18,-0.169032152506478
2.18125,-0.167156839877096
2.1825,-0.165318022569528
2.18375,-0.163514784757801
2.185,-0.161746239943533
2.18625,-0.160011529850334
2.1875,-0.158309823366418
