"Freq [GHz]","cang_rad(S(Port,Port)) [rad]"
1.75,-2.06352028094601
1.75125,-2.06660902186432
1.7525,-2.06970436111264
1.75375,-2.07280640074747
1.755,-2.0759152448392
1.75625,-2.07903099952289
1.7575,-2.08215377305043
1.75875,-2.08528367584433
1.76,-2.0884208205532
1.76125,-2.0915653221088
1.7625,-2.09471729778501
1.76375,-2.09787686725847
1.765,-2.10104415267118
1.76625,-2.10421927869508
1.7675,-2.10740237259853
1.76875,-2.11059356431507
1.77,-2.11379298651418
1.77125,-2.11700077467438
1.7725,-2.12021706715869
1.77375,-2.12344200529246
1.775,-2.12667573344372
1.77625,-2.12991839910617
1.7775,-2.13317015298488
1.77875,-2.13643114908476
1.78,-2.13970154480198
1.78125,-2.14298150101845
1.7825,-2.14627118219935
1.78375,-2.14957075649405
1.785,-2.15288039584032
1.78625,-2.15620027607217
1.7875,-2.15953057703128
1.78875,-2.16287148268225
1.79,-2.16622318123188
1.79125,-2.16958586525251
1.7925,-2.17295973180968
1.79375,-2.17634498259421
1.795,-2.17974182405903
1.79625,-2.18315046756069
1.7975,-2.18657112950605
1.79875,-2.19000403150411
1.8,-2.19344940052336
1.80125,-2.19690746905477
1.8025,-2.20037847528072
1.80375,-2.20386266325014
1.805,-2.20736028306003
1.80625,-2.21087159104369
1.8075,-2.21439684996604
1.80875,-2.21793632922611
1.81,-2.22149030506724
1.81125,-2.2250590607952
1.8125,-2.22864288700457
1.81375,-2.23224208181388
1.815,-2.23585695110967
1.81625,-2.23948780880013
1.8175,-2.2431349770785
1.81875,-2.24679878669687
1.82,-2.25047957725072
1.82125,-2.2541776974748
1.8225,-2.25789350555073
1.82375,-2.261627369427
1.825,-2.26537966715187
1.82625,-2.26915078721977
1.8275,-2.27294112893193
1.82875,-2.27675110277169
1.83,-2.2805811307955
1.83125,-2.28443164704009
1.8325,-2.28830309794668
1.83375,-2.29219594280317
1.835,-2.29611065420496
1.83625,-2.30004771853551
1.8375,-2.30400763646749
1.83875,-2.30799092348563
1.84,-2.31199811043226
1.84125,-2.31602974407674
1.8425,-2.32008638770998
1.84375,-2.32416862176531
1.845,-2.32827704446701
1.84625,-2.33241227250801
1.8475,-2.33657494175816
1.84875,-2.34076570800475
1.85,-2.34498524772693
1.85125,-2.34923425890574
1.8525,-2.35351346187185
1.85375,-2.35782360019268
1.855,-2.36216544160138
1.85625,-2.36653977896962
1.8575,-2.37094743132678
1.85875,-2.37538924492789
1.86,-2.37986609437318
1.86125,-2.38437888378191
1.8625,-2.38892854802364
1.86375,-2.39351605401001
1.865,-2.39814240205056
1.86625,-2.4028086272761
1.8675,-2.40751580113358
1.86875,-2.41226503295636
1.87,-2.41705747161444
1.87125,-2.42189430724911
1.8725,-2.42677677309697
1.87375,-2.43170614740855
1.875,-2.4366837554671
1.87625,-2.44171097171341
1.8775,-2.44678922198303
1.87875,-2.45191998586251
1.88,-2.4571047991719
1.88125,-2.462345256581
1.8825,-2.46764301436756
1.88375,-2.47299979332605
1.885,-2.47841738183608
1.88625,-2.48389763910046
1.8875,-2.48944249856319
1.88875,-2.49505397151863
1.89,-2.50073415092356
1.89125,-2.50648521542496
1.8925,-2.51230943361685
1.89375,-2.51820916854054
1.895,-2.52418688244369
1.89625,-2.53024514181431
1.8975,-2.53638662270714
1.89875,-2.54261411638076
1.9,-2.54893053526517
1.90125,-2.55533891928055
1.9025,-2.56184244252938
1.90375,-2.56844442038555
1.905,-2.57514831700518
1.90625,-2.58195775328578
1.9075,-2.58887651530145
1.90875,-2.59590856324389
1.91,-2.60305804090004
