"Freq [GHz]","NormalizedDistance []","NearETotal [V_per_meter]"
2,0,714.331870488808
2,0.01,697.979014264936
2,0.02,683.141881161748
2,0.03,669.877808763152
2,0.04,658.239448447491
2,0.05,670.903481339117
2,0.06,666.099520982226
2,0.07,662.189379786721
2,0.08,659.190042856606
2,0.09,677.036286497999
2,0.1,673.110950552756
2,0.11,670.070970376928
2,0.12,667.946353465889
2,0.13,666.764866937001
2,0.14,706.696334362932
2,0.15,708.865791658247
2,0.16,711.704788293321
2,0.17,715.249094366977
2,0.18,704.83513785669
2,0.19,699.760448310491
2,0.2,695.960504498718
2,0.21,679.262455555132
2,0.22,711.354637543773
2,0.23,749.21573017494
2,0.24,792.035631129535
2,0.25,839.072063656953
2,0.26,889.67281369467
2,0.27,943.280486110244
2,0.28,999.427090212745
2,0.29,937.793081406284
2,0.3,957.908379496538
2,0.31,979.385061473965
2,0.32,1002.36000366017
2,0.33,1026.75150413265
2,0.34,1052.48059190724
2,0.35,1079.47172682504
2,0.36,1107.65328871258
2,0.37,1136.95788575968
2,0.38,1187.24239576633
2,0.39,1222.33515202799
2,0.4,1312.47757726952
2,0.41,1279.02455957883
2,0.42,1243.48756462619
2,0.43,1213.78192566572
2,0.44,1190.23278705078
2,0.45,1193.58215857901
2,0.46,1070.81845628559
2,0.47,1064.15135158422
2,0.48,1057.43967406168
2,0.49,1050.68307663602
2,0.5,1043.88182443615
2,0.51,870.281163954427
2,0.52,840.952224884726
2,0.53,811.841024347532
2,0.54,783.013320627906
2,0.55,754.545291252152
2,0.56,726.52525745779
2,0.57,699.055638980405
2,0.58,672.255120938721
2,0.59,658.933665941334
2,0.6,637.098107856641
2,0.61,616.337706725853
2,0.62,596.833038101525
2,0.63,578.782656628816
2,0.64,562.401398145259
2,0.65,547.916906204464
2,0.66,659.95257770092
2,0.67,670.638260716405
2,0.68,631.539033936662
2,0.69,655.275674012569
2,0.7,680.622542519674
2,0.71,707.350218259566
2,0.72,735.254382570599
2,0.73,763.236740047939
2,0.74,800.83480554143
2,0.75,838.357030834895
2,0.76,875.73995550703
2,0.77,912.932118569375
2,0.78,949.891611128553
2,0.79,1028.94043518312
2,0.8,1063.67473644834
2,0.81,1098.43345554873
2,0.82,1133.19944233515
2,0.83,1167.95929142962
2,0.84,1202.70280125506
2,0.85,1370.70871193516
2,0.86,1345.51566962191
2,0.87,1321.73367849323
2,0.88,1299.49367367778
2,0.89,1278.93123114145
2,0.9,1260.18524284174
2,0.91,1243.39623759208
2,0.92,1228.70434712344
2,0.93,1252.65598256842
2,0.94,1347.89244549893
2,0.95,1403.97025848363
2,0.96,1342.3717387107
2,0.97,1247.87911011545
2,0.98,1160.12802282146
2,0.99,1080.74377785755
2,1,1025.59025645435
