"Freq [GHz]","dB(S(Port,Port)) []"
1.75,-0.0594631266339156
1.75125,-0.0600703655342543
1.7525,-0.06068829759991
1.75375,-0.0613171218663139
1.755,-0.0619570427397327
1.75625,-0.0626082701620041
1.7575,-0.0632710197811577
1.75875,-0.0639455131282814
1.76,-0.0646319778007272
1.76125,-0.0653306476521319
1.7625,-0.0660417629892781
1.76375,-0.0667655707763436
1.765,-0.0675023248466262
1.76625,-0.0682522861222521
1.7675,-0.0690157228420401
1.76875,-0.069792910798031
1.77,-0.0705841335808934
1.77125,-0.0713896828347204
1.7725,-0.0722098585215701
1.77375,-0.0730449691961905
1.775,-0.073895332291345
1.77625,-0.0747612744142283
1.7775,-0.0756431316545162
1.77875,-0.0765412499044874
1.78,-0.0774559851917701
1.78125,-0.0783877040253712
1.7825,-0.0793367837554884
1.78375,-0.0803036129477509
1.785,-0.0812885917726537
1.78625,-0.0822921324107083
1.7875,-0.0833146594742424
1.78875,-0.0843566104464345
1.79,-0.0854184361385398
1.79125,-0.08650060116609
1.7925,-0.0876035844449763
1.79375,-0.088727879708395
1.795,-0.0898739960456312
1.79625,-0.0910424584637315
1.7975,-0.0922338084732036
1.79875,-0.0934486046989078
1.8,-0.0946874235173534
1.80125,-0.0959508597217597
1.8025,-0.0972395272161619
1.80375,-0.0985540597402147
1.805,-0.0998951116259339
1.80625,-0.101263358588322
1.8075,-0.102659498551372
1.80875,-0.104084252511325
1.81,-0.105538365439208
1.81125,-0.107022607224499
1.8125,-0.108537773662221
1.81375,-0.11008468748573
1.815,-0.111664199447483
1.81625,-0.113277189450545
1.8175,-0.114924567733344
1.81875,-0.116607276110744
1.82,-0.118326289274244
1.82125,-0.120082616154855
1.8225,-0.121877301351766
1.82375,-0.123711426630661
1.825,-0.125586112495492
1.82625,-0.127502519837766
1.8275,-0.129461851667855
1.82875,-0.13146535493285
1.83,-0.133514322425986
1.83125,-0.135610094792863
1.8325,-0.137754062640099
1.83375,-0.139947668752401
1.835,-0.142192410424386
1.83625,-0.144489841913931
1.8375,-0.146841577024364
1.83875,-0.149249291823163
1.84,-0.151714727505348
1.84125,-0.154239693410551
1.8425,-0.156826070202956
1.84375,-0.159475813224355
1.845,-0.162190956030907
1.84625,-0.164973614125252
1.8475,-0.167825988896171
1.84875,-0.170750371779072
1.85,-0.17374914865137
1.85125,-0.176824804477939
1.8525,-0.179979928222846
1.85375,-0.183217218044857
1.855,-0.186539486795347
1.85625,-0.189949667838735
1.8575,-0.193450821217119
1.85875,-0.197046140182198
1.86,-0.200738958119542
1.86125,-0.204532755892142
1.8625,-0.208431169632043
1.86375,-0.212437999011481
1.865,-0.216557216026993
1.86625,-0.220792974332854
1.8675,-0.225149619163094
1.86875,-0.229631697884264
1.87,-0.234243971224844
1.87125,-0.238991425230662
1.8725,-0.243879283999759
1.87375,-0.248913023254891
1.875,-0.254098384816065
1.87625,-0.259441392041502
1.8775,-0.264948366310612
1.87875,-0.270625944629152
1.88,-0.276481098443653
1.88125,-0.2825211537596
1.8825,-0.288753812666281
1.88375,-0.295187176380321
1.885,-0.301829769929774
1.88625,-0.308690568611703
1.8875,-0.315779026368289
1.88875,-0.323105106239681
1.89,-0.33067931306633
1.89125,-0.338512728629957
1.8925,-0.34661704943968
1.89375,-0.355004627389686
1.895,-0.36368851353633
1.89625,-0.372682505266586
1.8975,-0.382001197156117
1.89875,-0.391660035844679
1.9,-0.401675379288937
1.90125,-0.412064560788938
1.9025,-0.422845958224426
1.90375,-0.434039068981616
1.905,-0.445664591100575
1.90625,-0.457744511228356
1.9075,-0.470302200024365
1.90875,-0.483362515732911
1.91,-0.496951916714028
1.91125,-0.511098583809286
