"Freq [GHz]","cang_rad(S(Port,Port)) [rad]"
1.75,-2.06852446648724
1.75125,-2.0715781123965
1.7525,-2.07463806031859
1.75375,-2.07770440832385
1.755,-2.08077725640666
1.75625,-2.08385670653365
1.7575,-2.08694286269329
1.75875,-2.0900358309471
1.76,-2.09313571948228
1.76125,-2.09624263866602
1.7625,-2.09935670110144
1.76375,-2.10247802168527
1.765,-2.10560671766732
1.76625,-2.10874290871173
1.7675,-2.11188671696022
1.76875,-2.11503826709727
1.77,-2.11819768641739
1.77125,-2.12136510489445
1.7725,-2.12454065525331
1.77375,-2.12772447304368
1.775,-2.13091669671635
1.77625,-2.13411746770195
1.7775,-2.13732693049218
1.77875,-2.14054523272377
1.78,-2.14377252526512
1.78125,-2.14700896230587
1.7825,-2.15025470144941
1.78375,-2.15350990380846
1.785,-2.15677473410385
1.78625,-2.16004936076667
1.7875,-2.16333395604386
1.78875,-2.16662869610734
1.79,-2.16993376116697
1.79125,-2.17324933558731
1.7925,-2.1765756080085
1.79375,-2.17991277147127
1.795,-2.18326102354636
1.79625,-2.18662056646851
1.7975,-2.18999160727512
1.79875,-2.19337435794992
1.8,-2.19676903557174
1.80125,-2.20017586246862
1.8025,-2.20359506637746
1.80375,-2.20702688060958
1.805,-2.21047154422224
1.80625,-2.21392930219645
1.8075,-2.21740040562147
1.80875,-2.22088511188604
1.81,-2.22438368487682
1.81125,-2.22789639518434
1.8125,-2.23142352031664
1.81375,-2.23496534492113
1.815,-2.23852216101488
1.81625,-2.24209426822384
1.8175,-2.24568197403124
1.81875,-2.24928559403575
1.82,-2.25290545221968
1.82125,-2.25654188122785
1.8225,-2.2601952226574
1.82375,-2.26386582735929
1.825,-2.26755405575176
1.82625,-2.27126027814658
1.8275,-2.27498487508848
1.82875,-2.27872823770849
1.83,-2.28249076809175
1.83125,-2.28627287966064
1.8325,-2.29007499757376
1.83375,-2.29389755914171
1.835,-2.29774101426032
1.83625,-2.30160582586237
1.8375,-2.30549247038842
1.83875,-2.30940143827806
1.84,-2.31333323448226
1.84125,-2.31728837899805
1.8425,-2.32126740742664
1.84375,-2.32527087155606
1.845,-2.32929933996973
1.84625,-2.33335339868212
1.8475,-2.33743365180297
1.84875,-2.34154072223156
1.85,-2.34567525238258
1.85125,-2.34983790494522
1.8525,-2.35402936367723
1.85375,-2.3582503342359
1.855,-2.3625015450478
1.85625,-2.36678374821935
1.8575,-2.37109772049064
1.85875,-2.37544426423449
1.86,-2.37982420850357
1.86125,-2.38423841012796
1.8625,-2.38868775486608
1.86375,-2.3931731586119
1.865,-2.39769556866157
1.86625,-2.40225596504283
1.8675,-2.40685536191072
1.86875,-2.41149480901342
1.87,-2.4161753932321
1.87125,-2.42089824019923
1.8725,-2.42566451599969
1.87375,-2.43047542895957
1.875,-2.43533223152791
1.87625,-2.44023622225657
1.8775,-2.44518874788429
1.87875,-2.45019120553098
1.88,-2.45524504500886
1.88125,-2.46035177125751
1.8825,-2.46551294691015
1.88375,-2.47073019499929
1.885,-2.47600520181012
1.88625,-2.48133971989064
1.8875,-2.48673557122826
1.88875,-2.49219465060303
1.89,-2.49771892912845
1.89125,-2.50331045799155
1.8925,-2.50897137240459
1.89375,-2.51470389578158
1.895,-2.52051034415384
1.89625,-2.52639313083937
1.8975,-2.5323547713822
1.89875,-2.53839788877863
1.9,-2.54452521900838
1.90125,-2.55073961688999
1.9025,-2.55704406228082
1.90375,-2.56344166664334
1.905,-2.56993568000075
1.90625,-2.5765294983063
1.9075,-2.58322667125216
1.90875,-2.59003091054504
1.91,-2.59694609867756
1.91125,-2.6039762982254
1.9125,-2.61112576170249
1.91375,-2.61839894200741
1.915,-2.62580050349597
1.91625,-2.63333533371654
1.9175,-2.64100855584561
1.91875,-2.64882554186268
1.92,-2.65679192650421
1.92125,-2.66491362203741
1.9225,-2.67319683389443
1.92375,-2.68164807720791
1.925,-2.69027419428763
1.92625,-2.69908237307632
1.9275,-2.70808016662047
1.92875,-2.71727551358763
1.93,-2.72667675985649
1.93125,-2.73629268119863
1.9325,-2.74613250706116
1.93375,-2.75620594544671
1.935,-2.76652320887165
1.93625,-2.77709504136241
1.9375,-2.78793274642515
1.93875,-2.79904821589179
1.94,-2.81045395950683
1.94125,-2.82216313507117
1.9425,-2.83418957890063
1.94375,-2.84654783628547
1.945,-2.85925319155049
1.94625,-2.87232169721086
1.9475,-2.88577020159264
1.94875,-2.89961637413603
1.95,-2.91387872741815
1.95125,-2.92857663471718
1.9525,-2.94373034168308
1.95375,-2.9593609703774
1.955,-2.97549051358654
1.95625,-2.99214181689258
1.9575,-3.00933854549259
1.95875,-3.02710513218183
1.96,-3.04546670224597
1.96125,-3.06444897022874
1.9625,-3.08407810263808
1.96375,-3.10438053960573
1.965,-3.12538276729414
1.96625,-3.14711103141346
1.9675,-3.1695909805099
1.96875,-3.19284722562549
1.97,-3.21690280035557
1.97125,-3.24177850199863
1.9725,-3.26749208998575
1.97375,-3.29405731139089
1.975,-3.3214827138627
1.97625,-3.3497701917319
1.9775,-3.37891318777632
1.97875,-3.40889443490551
1.98,-3.43968305759854
1.98125,-3.47123074153291
1.9825,-3.50346648193359
1.98375,-3.53628905842176
1.985,-3.56955569402673
1.98625,-3.60306398233309
1.9875,-3.6365212767726
