"Freq [MHz]","dB(S(LumpedPort,LumpedPort)) []"
100,-0.690406006305464
100.5,-0.709984724618041
101,-0.730180847374125
101.5,-0.75101709124605
102,-0.772517102129338
102.5,-0.794705495818643
103,-0.817607900487457
103.5,-0.84125100104636
104,-0.865662585456774
104.5,-0.89087159307969
105,-0.916908165141234
105.5,-0.943803697399308
106,-0.971590895098101
106.5,-1.00030383029955
107,-1.0299780016835
107.5,-1.06065039691072
108,-1.09235955764549
108.5,-1.12514564733713
109,-1.15905052186261
109.5,-1.19411780313499
110,-1.23039295578557
110.5,-1.26792336703084
111,-1.30675842983848
111.5,-1.3469496295106
112,-1.38855063380656
112.5,-1.43161738673221
113,-1.47620820612787
113.5,-1.52238388519351
114,-1.57020779809643
114.5,-1.61974600981552
115,-1.67106739038541
115.5,-1.72424373371591
116,-1.77934988117516
116.5,-1.8364638501416
117,-1.89566696774855
117.5,-1.95704401006782
118,-2.02068334700555
118.5,-2.08667709321448
119,-2.15512126536404
119.5,-2.22611594615258
120,-2.2997654554965
120.5,-2.37617852938996
121,-2.4554685069967
121.5,-2.53775352661454
122,-2.62315673124377
122.5,-2.71180648459468
123,-2.80383659848831
123.5,-2.89938657273961
124,-2.99860184876455
124.5,-3.10163407832495
125,-3.20864140901575
125.5,-3.31978878831304
126,-3.43524828823494
126.5,-3.55519945292296
127,-3.67982967172697
127.5,-3.80933458066966
128,-3.94391849547179
128.5,-4.08379487963096
129,-4.2291868513524
129.5,-4.38032773341506
130,-4.53746165029694
130.5,-4.70084417704814
131,-4.87074304444275
131.5,-5.04743890479848
132,-5.23122616243883
132.5,-5.42241387196396
133,-5.62132670612608
133.5,-5.82830599293919
134,-6.04371081836979
134.5,-6.26791918610338
135,-6.50132921883977
135.5,-6.74436037546447
136,-6.99745464405722
136.5,-7.26107765032136
137,-7.53571959224911
137.5,-7.82189587128992
138,-8.12014723318187
138.5,-8.43103915117638
139,-8.75516007106475
139.5,-9.09311797767165
140,-9.44553451724103
140.5,-9.81303559267307
141,-10.1962369018107
141.5,-10.5957222624457
142,-11.0120116947533
142.5,-11.4455150290596
143,-11.8964651802482
143.5,-12.3648230983066
144,-12.8501437590521
144.5,-13.3513896019689
145,-13.8666752494466
145.5,-14.3929268763396
146,-14.9254448709595
146.5,-15.4573761277512
147,-15.9791428510399
147.5,-16.4779499660573
148,-16.9376058444583
148.5,-17.3390098551797
149,-17.6616874775744
149.5,-17.8865301669224
150,-17.9993288263967
150.5,-17.9939882426242
151,-17.8740488784961
151.5,-17.6517723699869
152,-17.3452443351193
152.5,-16.9747935770951
153,-16.5599771481866
153.5,-16.1177304511612
154,-15.6616410424506
154.5,-15.2019927317321
155,-14.7462048020428
155.5,-14.2993987905119
156,-13.8649446503568
156.5,-13.4449236003698
157,-13.0404934723872
157.5,-12.6521648643127
158,-12.2800041170899
158.5,-11.9237797088989
159,-11.5830664110992
159.5,-11.2573185970083
160,-10.9459213355613
160.5,-10.6482256324125
161,-10.3635724297406
161.5,-10.0913086724308
162,-9.83079779847159
162.5,-9.58142632813489
163,-9.34260773867063
163.5,-9.11378446437735
164,-8.89442861576339
164.5,-8.68404183694292
165,-8.48215459658241
165.5,-8.2883251198242
166,-8.10213810619576
166.5,-7.92320333416427
167,-7.75115422148685
167.5,-7.58564638813768
168,-7.42635625274015
168.5,-7.27297968223155
169,-7.12523070661414
169.5,-6.98284030515103
170,-6.84555526657111
170.5,-6.71313712326929
171,-6.58536115777631
171.5,-6.46201547867621
172,-6.34290016248915
172.5,-6.2278264576808
173,-6.11661604681541
173.5,-6.00910036286963
174,-5.90511995581921
174.5,-5.80452390576881
175,-5.70716927908889
175.5,-5.61292062423828
176,-5.52164950417322
176.5,-5.43323406246579
177,-5.34755862047108
177.5,-5.26451330308974
178,-5.1839936908689
178.5,-5.10590049636785
179,-5.03013926288621
179.5,-4.95662008381058
180,-4.88525734098118
180.5,-4.81596946061463
181,-4.74867868544132
181.5,-4.68331086182866
182,-4.61979524076391
182.5,-4.55806429166428
183,-4.49805352806743
183.5,-4.43970134433345
184,-4.38294886256061
184.5,-4.32773978898197
185,-4.27402027916901
185.5,-4.2217388114225
186,-4.17084606777974
186.5,-4.12129482211265
187,-4.07303983483173
187.5,-4.02603775374873
188,-3.98024702068499
188.5,-3.93562778344373
189,-3.89214181279342
189.5,-3.84975242413555
190,-3.80842440355416
190.5,-3.7681239379669
191,-3.72881854911735
191.5,-3.69047703116733
192,-3.65306939166476
192.5,-3.61656679567894
193,-3.58094151290895
193.5,-3.54616686758514
194,-3.51221719099526
194.5,-3.47906777647882
195,-3.44669483674344
195.5,-3.41507546336692
196,-3.38418758835771
196.5,-3.35400994765474
197,-3.32452204645559
197.5,-3.29570412626879
198,-3.26753713359299
198.5,-3.24000269013182
199,-3.21308306445896
199.5,-3.18676114505338
200,-3.16102041462968
